Title; Author; Year; Original_line
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; Не надо умолять сестрицу
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; «Ну прочитай еще страницу»
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; Не надо звать
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; Не надо ждать
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; А можно взять
Как хорошо уметь читать; Валентин Берестов; Год написания не известен; И почитать
Василий Шибанов; Алексей Толстой; Год написания не известен; Князь Курбский от царского гнева бежал
Василий Шибанов; Алексей Толстой; Год написания не известен; С ним Васька Шибанов стремянный
Василий Шибанов; Алексей Толстой; Год написания не известен; Дороден был князь Конь измученный пал —
Василий Шибанов; Алексей Толстой; Год написания не известен; Как быть среди ночи туманной
Василий Шибанов; Алексей Толстой; Год написания не известен; Но рабскую верность Шибанов храня
Василий Шибанов; Алексей Толстой; Год написания не известен; Свого отдает воеводе коня
Василий Шибанов; Алексей Толстой; Год написания не известен; «Скачи князь до вражьего стану
Василий Шибанов; Алексей Толстой; Год написания не известен; Авось я пешой не отстану»
Ночь; Сергей Есенин; 1911; Тихо дремлет река
Ночь; Сергей Есенин; 1911; Темный бор не шумит
Ночь; Сергей Есенин; 1911; Соловей не поет
Ночь; Сергей Есенин; 1911; И дергач не кричит
После победы; Сергей Михалков; Год написания не известен; Спать легли однажды дети –
После победы; Сергей Михалков; Год написания не известен; Окна все затемнены
После победы; Сергей Михалков; Год написания не известен; А проснулись на рассвете –
После победы; Сергей Михалков; Год написания не известен; В окнах свет — и нет войны
Первый снег; Валерий Брюсов; 1895; Серебро огни и блестки 
Первый снег; Валерий Брюсов; 1895; Целый мир из серебра
Первый снег; Валерий Брюсов; 1895; В жемчугах горят березки
Первый снег; Валерий Брюсов; 1895; Черноголые вчера
Разлука; Агния Барто; Год написания не известен; Все я делаю для мамы
Разлука; Агния Барто; Год написания не известен; Для нее играю гаммы
Разлука; Агния Барто; Год написания не известен; Для нее хожу к врачу
Разлука; Агния Барто; Год написания не известен; Математику учу
Людей теряют только раз; Геннадий Шпаликов; Год написания не известен; Людей теряют только раз
Людей теряют только раз; Геннадий Шпаликов; Год написания не известен; И след теряя не находят
Людей теряют только раз; Геннадий Шпаликов; Год написания не известен; А человек гостит у вас
Людей теряют только раз; Геннадий Шпаликов; Год написания не известен; Прощается и в ночь уходит
Буква Я; Борис Заходер; Год написания не известен; Всем известно
Буква Я; Борис Заходер; Год написания не известен; Буква <em>Я< em>В азбуке
Буква Я; Борис Заходер; Год написания не известен; Последняя
Буква Я; Борис Заходер; Год написания не известен; А известно ли кому
Буква Я; Борис Заходер; Год написания не известен; Отчего и почему
Не смейте забывать учителей; Андрей Дементьев; 1966; Не смейте забывать учителей
Не смейте забывать учителей; Андрей Дементьев; 1966; Они о нас тревожатся и помнят
Не смейте забывать учителей; Андрей Дементьев; 1966; И в тишине задумавшихся комнат
Не смейте забывать учителей; Андрей Дементьев; 1966; Ждут наших возвращений и вестей
Не смейте забывать учителей; Андрей Дементьев; 1966; Им не хватает этих встреч нечастых
Не смейте забывать учителей; Андрей Дементьев; 1966; И сколько бы ни миновало лет
Не смейте забывать учителей; Андрей Дементьев; 1966; Случается учительское счастье
Не смейте забывать учителей; Андрей Дементьев; 1966; Из наших ученических побед
Не смейте забывать учителей; Андрей Дементьев; 1966; А мы порой так равнодушны к ним
Не смейте забывать учителей; Андрей Дементьев; 1966; Под Новый Год не шлём им поздравлений
Не смейте забывать учителей; Андрей Дементьев; 1966; А в суете иль попросту из лени
Не смейте забывать учителей; Андрей Дементьев; 1966; Не пишем не заходим не звоним
Не смейте забывать учителей; Андрей Дементьев; 1966; Они нас ждут Они следят за нами
Не смейте забывать учителей; Андрей Дементьев; 1966; И радуются всякий раз за тех
Не смейте забывать учителей; Андрей Дементьев; 1966; Кто снова гдето выдержал экзамен
Не смейте забывать учителей; Андрей Дементьев; 1966; На мужество на честность на успех
Не смейте забывать учителей; Андрей Дементьев; 1966; Не смейте забывать учителей
Не смейте забывать учителей; Андрей Дементьев; 1966; Пусть будет жизнь достойна их усилий
Не смейте забывать учителей; Андрей Дементьев; 1966; Учителями славится Россия
Не смейте забывать учителей; Андрей Дементьев; 1966; Ученики приносят славу ей
Не смейте забывать учителей; Андрей Дементьев; 1966; Не смейте забывать учителей
Так было, так будет; Вероника Тушнова; Год написания не известен; Так было так будет
Так было, так будет; Вероника Тушнова; Год написания не известен; в любом испытанье
Так было, так будет; Вероника Тушнова; Год написания не известен; кончаются силы
Так было, так будет; Вероника Тушнова; Год написания не известен; в глазах потемнело
Так было, так будет; Вероника Тушнова; Год написания не известен; уже исступленье
Так было, так будет; Вероника Тушнова; Год написания не известен; смятенье
Так было, так будет; Вероника Тушнова; Год написания не известен; метанье
Так было, так будет; Вероника Тушнова; Год написания не известен; свинцовою тяжестью
Так было, так будет; Вероника Тушнова; Год написания не известен; смятое тело
Так было, так будет; Вероника Тушнова; Год написания не известен; Уже задыхается сердце слепое
Так было, так будет; Вероника Тушнова; Год написания не известен; колотится бешено и бестолково
Так было, так будет; Вероника Тушнова; Год написания не известен; и вырваться хочет
Так было, так будет; Вероника Тушнова; Год написания не известен; ценою любою
Так было, так будет; Вероника Тушнова; Год написания не известен; и нету опасней
Так было, так будет; Вероника Тушнова; Год написания не известен; мгновенья такого
Так было, так будет; Вероника Тушнова; Год написания не известен; Бороться так трудно
Так было, так будет; Вероника Тушнова; Год написания не известен; а сдаться так просто
Так было, так будет; Вероника Тушнова; Год написания не известен; упасть и молчать
Так было, так будет; Вероника Тушнова; Год написания не известен; без движения лежа…
Так было, так будет; Вероника Тушнова; Год написания не известен; Они ж не бездонны —
Так было, так будет; Вероника Тушнова; Год написания не известен; запасы упорства…
Так было, так будет; Вероника Тушнова; Год написания не известен; Но дальшето
Так было, так будет; Вероника Тушнова; Год написания не известен; дальшето
Так было, так будет; Вероника Тушнова; Год написания не известен; дальшето что же
Так было, так будет; Вероника Тушнова; Год написания не известен; Как долго мои испытания длятся
Так было, так будет; Вероника Тушнова; Год написания не известен; уже непосильно борение это…
Так было, так будет; Вероника Тушнова; Год написания не известен; Но если мне сдаться
Так было, так будет; Вероника Тушнова; Год написания не известен; так с жизнью расстаться
Так было, так будет; Вероника Тушнова; Год написания не известен; и рада бы выбрать
Так было, так будет; Вероника Тушнова; Год написания не известен; да выбора нету
Так было, так будет; Вероника Тушнова; Год написания не известен; Считаю не на километры — на метры
Так было, так будет; Вероника Тушнова; Год написания не известен; считаю уже не на дни — на минуты…
Так было, так будет; Вероника Тушнова; Год написания не известен; И вдруг полегчало
Так было, так будет; Вероника Тушнова; Год написания не известен; Сперва неприметно
Так было, так будет; Вероника Тушнова; Год написания не известен; Но сразу в глазах посветлело
Так было, так будет; Вероника Тушнова; Год написания не известен; как будто
Так было, так будет; Вероника Тушнова; Год написания не известен; Уже не похожее на трепыханье
Так было, так будет; Вероника Тушнова; Год написания не известен; упругое чувствую
Так было, так будет; Вероника Тушнова; Год написания не известен; сердцебиенье…
Так было, так будет; Вероника Тушнова; Год написания не известен; И значит спасенье —
Так было, так будет; Вероника Тушнова; Год написания не известен; второе дыханье
Так было, так будет; Вероника Тушнова; Год написания не известен; Второе дыханье
Так было, так будет; Вероника Тушнова; Год написания не известен; Второе рожденье
Что, если; Яков Полонский; 1864; Что если на любовь последнюю твою
Что, если; Яков Полонский; 1864; Она любовью первою ответит
Что, если; Яков Полонский; 1864; И как дитя произнесет «люблю» —
Что, если; Яков Полонский; 1864; И сумеркам души твоей посветит
Что, если; Яков Полонский; 1864; Ее беспечности смотри не отрави
Что, если; Яков Полонский; 1864; Неугомонным подозреньем
Что, если; Яков Полонский; 1864; К ее ребяческой любви
Что, если; Яков Полонский; 1864; Не подходи ревнивым привиденьем
Что, если; Яков Полонский; 1864; Очнувшись женщиной в испуге за себя
Что, если; Яков Полонский; 1864; Она к другому кинется в объятья
Что, если; Яков Полонский; 1864; И не захочет понимать тебя —
Что, если; Яков Полонский; 1864; И в первый раз услышишь ты проклятья
Что, если; Яков Полонский; 1864; Увы в последний раз любя
О красоте человеческих лиц; Николай Заболоцкий; 1955; Есть лица подобные пышным порталам
О красоте человеческих лиц; Николай Заболоцкий; 1955; Где всюду великое чудится в малом
О красоте человеческих лиц; Николай Заболоцкий; 1955; Есть лица — подобия жалких лачуг
О красоте человеческих лиц; Николай Заболоцкий; 1955; Где варится печень и мокнет сычуг
О красоте человеческих лиц; Николай Заболоцкий; 1955; Иные холодные мертвые лица
О красоте человеческих лиц; Николай Заболоцкий; 1955; Закрыты решетками словно темница
О красоте человеческих лиц; Николай Заболоцкий; 1955; Другие — как башни в которых давно
О красоте человеческих лиц; Николай Заболоцкий; 1955; Никто не живет и не смотрит в окно
О красоте человеческих лиц; Николай Заболоцкий; 1955; Но малую хижинку знал я когдато
О красоте человеческих лиц; Николай Заболоцкий; 1955; Была неказиста она небогата
О красоте человеческих лиц; Николай Заболоцкий; 1955; Зато из окошка ее на меня
О красоте человеческих лиц; Николай Заболоцкий; 1955; Струилось дыханье весеннего дня
О красоте человеческих лиц; Николай Заболоцкий; 1955; Поистине мир и велик и чудесен
